## AeroDB
## Cart3D Solutions for the LGBB Geometry
##
## NASA Advanced Supercomputing - Applications Branch
## NASA Ames Research Center
## Mail Stop T27B-1
## Moffett Field, CA  94035-1000
##
## POC: Neal M. Chaderjian (nchaderjian@mail.arc.nasa.gov)
## Stuart E. Rogers (rogers@nas.nasa.gov)
## 
## mach = Mach Number
## alpha = Angle of attack
## beta = Side-slip angle
## lift = Lift Coefficient
## drag = Drag Coefficient
## pitch = Pitching Moment Coefficient
## side = Side-Force Coefficient
## yaw = Yawing Moment Coefficient
## roll = Rolling Moment Coefficient
##              
mach alpha beta lift  drag  pitch  side  yaw  roll
0.20 -5 0.0 -0.095360 0.000600 -0.028690 0.000760 -0.000320 0.000100
0.20 -2 0.0 0.050320 0.028590 -0.031620 0.001390 -0.000450 0.000160
0.20 0 0.0 0.158010 0.052410 -0.037720 0.001220 -0.000600 0.000150
0.20 1 0.0 0.204190 0.054980 -0.038330 0.001310 -0.000570 0.000180
0.20 2 0.0 0.243640 0.057440 -0.038220 0.001250 -0.000620 0.000150
0.20 5 0.0 0.376470 0.073420 -0.039920 0.001460 -0.000310 0.000090
0.20 8 0.0 0.515650 0.097980 -0.041790 0.000990 -0.000550 0.000140
0.20 10 0.0 0.608410 0.120750 -0.042450 0.000900 -0.000250 -0.000020
0.20 12 0.0 0.698040 0.151490 -0.043540 0.000440 -0.000270 -0.000020
0.20 15 0.0 0.830490 0.205910 -0.045670 0.000870 -0.000320 0.000050
0.20 16 0.0 0.876090 0.227120 -0.045240 0.000440 -0.000420 -0.000180
0.20 17 0.0 0.916710 0.247930 -0.046310 -0.000620 -0.000780 -0.000110
0.20 18 0.0 0.958030 0.270810 -0.045990 0.000800 -0.000340 0.000010
0.20 19 0.0 0.999690 0.295800 -0.046440 0.001390 -0.000350 0.000150
0.20 20 0.0 1.039010 0.321750 -0.046330 0.001090 -0.000340 0.000080
0.20 21 0.0 1.077160 0.349290 -0.047320 0.000570 -0.000560 0.000150
0.20 22 0.0 1.119840 0.375660 -0.047270 0.000190 -0.000930 0.000030
0.20 23 0.0 1.151050 0.410050 -0.048110 0.000480 -0.000490 -0.000110
0.20 24 0.0 1.191230 0.439200 -0.048300 0.000150 -0.000710 0.000010
0.20 25 0.0 1.223450 0.473190 -0.048670 0.001190 -0.000590 0.000040
0.20 26 0.0 1.264160 0.497480 -0.049800 0.000470 -0.000630 0.000090
0.20 27 0.0 1.299230 0.522600 -0.050840 0.000040 -0.000840 0.000080
0.20 28 0.0 1.320300 0.558540 -0.052460 0.000250 -0.000480 0.000160
0.20 29 0.0 1.337190 0.610310 -0.053620 -0.000810 -0.000510 0.000250
0.20 30 0.0 1.347350 0.662540 -0.053320 -0.001540 -0.000490 0.000260
0.30 -5 0.0 -0.098910 0.007190 -0.027430 0.001440 -0.000400 0.000150
0.30 -2 0.0 0.051080 0.037750 -0.031850 0.000390 -0.000350 0.000100
0.30 0 0.0 0.140880 0.038200 -0.033490 0.000450 -0.000360 0.000130
0.30 1 0.0 0.186930 0.040800 -0.034280 0.000550 -0.000310 0.000100
0.30 2 0.0 0.233420 0.044220 -0.035350 0.000410 -0.000360 0.000070
0.30 5 0.0 0.373660 0.061670 -0.037920 0.000500 -0.000420 0.000060
0.30 8 0.0 0.517640 0.087310 -0.040400 0.000710 -0.000370 0.000080
0.30 10 0.0 0.615100 0.110470 -0.042020 0.001260 -0.000560 0.000120
0.30 12 0.0 0.711230 0.139730 -0.043170 0.000890 -0.000720 0.000140
0.30 15 0.0 0.850960 0.193570 -0.044330 0.001170 -0.000220 0.000020
0.30 16 0.0 0.894970 0.213420 -0.045010 0.000900 -0.000340 0.000090
0.30 17 0.0 0.942940 0.236290 -0.045960 0.001150 -0.000300 0.000090
0.30 18 0.0 0.985360 0.259200 -0.047090 0.001060 -0.000320 0.000120
0.30 19 0.0 1.028030 0.283870 -0.048330 0.001580 -0.000610 0.000020
0.30 20 0.0 1.070070 0.311660 -0.049710 0.001890 -0.000470 -0.000040
0.30 21 0.0 1.111470 0.340640 -0.051110 0.001320 -0.000640 0.000130
0.30 22 0.0 1.149540 0.371210 -0.052270 0.001230 -0.000740 0.000010
0.30 23 0.0 1.188400 0.404580 -0.052920 0.000310 -0.000830 0.000080
0.30 24 0.0 1.223550 0.439610 -0.055720 0.000020 -0.000990 0.000120
0.30 25 0.0 1.652570 0.725570 0.015430 0.001420 -0.000470 0.000150
0.30 26 0.0 1.283910 0.512870 -0.057490 0.000430 -0.000280 0.000040
0.30 27 0.0 1.309420 0.550520 -0.057530 -0.000220 -0.000250 0.000150
0.30 28 0.0 1.327610 0.586490 -0.058590 -0.000910 -0.000420 0.000190
0.30 29 0.0 1.349700 0.627490 -0.057120 -0.000650 -0.000470 0.000050
0.30 30 0.0 1.363810 0.666210 -0.058000 0.000210 -0.000180 0.000060
0.40 -5 0.0 -0.103020 0.013860 -0.026810 0.001010 -0.000270 0.000090
0.40 -2 0.0 0.047590 0.031540 -0.031600 0.000810 -0.000280 0.000120
0.40 0 0.0 0.136870 0.032100 -0.032870 0.000700 -0.000270 0.000120
0.40 1 0.0 0.182400 0.034160 -0.033350 0.000660 -0.000270 0.000100
0.40 2 0.0 0.229710 0.036730 -0.034350 0.000580 -0.000320 0.000110
0.40 5 0.0 0.375250 0.053020 -0.037140 0.000880 -0.000280 0.000090
0.40 8 0.0 0.523840 0.081550 -0.040210 0.001290 -0.000460 0.000170
