week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 13.0874446220239 12.6289596317667 13.1005399134956 13.267192514596 12.7029005747662 NA NA NA NA NA
37 20 10 2 25 40 10 10 13.2619744358317 13.2956869021014 12.9878437896121 13.0556288896478 13.0416256434962 NA NA NA NA NA
37 2 20 2 25 40 10 15 13.0517029364935 11.5064938437697 12.5180220493471 11.7231427569102 11.781951230795 NA NA NA NA NA
37 2 10 5 25 40 10 20 14.7966594480289 15.0068228713262 15.3182618336131 14.4829741297735 15.0887550760808 NA NA NA NA NA
37 20 20 2 25 40 10 25 11.839190871355 10.9987543963092 10.9316267638958 12.3417505448914 11.0816255445589 NA NA NA NA NA
37 2 20 5 25 40 10 30 13.4514781658423 13.6291896421079 14.4273343073837 13.860128297483 13.611848791881 NA NA NA NA NA
37 20 20 5 25 40 10 35 13.1789978996822 13.4581816475335 12.6506840893767 12.4271556057995 11.8926752318931 NA NA NA NA NA
39 11 15 3.5 20 20 20 20 15.1322214853369 14.8147476925657 14.2000658697038 15.1403053043945 14.7270276082834 NA NA NA NA NA
40 11 15 3.5 15 30 30 20 14.2575758048123 14.2683379205844 13.5010982611387 14.0125094784134 13.6322371267794 NA NA NA NA NA
40 11 15 3.5 25 40 10 20 13.5957221840472 13.7682833811016 13.8713021966837 14.1710209223515 13.770686414534 NA NA NA NA NA
41 11 14.01 5 20 24.45 20 7.03 15.1415882855278 15.5654965111415 15.3226623159868 15.2306840070619 15.8944560493869 NA NA NA NA NA
41 11 13.03 6.5 20 18.91 20 0 15.9079405457135 16.8312479063368 16.7308736744813 16.0429208160657 16.6522232628004 NA NA NA NA NA
42 0 11.06 6.48 22.6 11.29 14.48 2.08 15.7417096293589 NA NA NA NA NA NA NA NA NA
42 0.44 11.7 6.94 20.02 12.33 20.01 0 15.6421634227656 NA NA NA NA NA NA NA NA NA
42 0 11.38 6.36 21.94 13.19 16.18 2.91 15.2530980425463 NA NA NA NA NA NA NA NA NA
42 1.2 11.79 6.34 21.11 14.02 17.75 1.91 16.3068398711865 NA NA NA NA NA NA NA NA NA
42 0.82 11.66 6.34 21.38 14.15 17.26 0.098 15.3268070513724 NA NA NA NA NA NA NA NA NA
42 10.95 14.71 3.91 18.11 24.99 23.77 16.65 14.8817820958653 NA NA NA NA NA NA NA NA NA
42 8.96 13.2 5.93 19.9 17.78 19.99 4.97 15.8854038258669 NA NA NA NA NA NA NA NA NA
42 3.44 16.23 4.18 24.94 39.84 10.11 22.85 14.2835795949154 NA NA NA NA NA NA NA NA NA
42 4.9 11.53 7.37 20.99 11.38 17.62 1.23 16.9909495783587 16.6201290085314 16.3969278877337 16.3141356427525 16.3076278939282 NA NA NA NA NA
