week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 12.987976154781 12.5251256439414 12.6461342306192 13.0124474312703 12.7408969719824 NA NA NA NA NA
37 20 10 2 25 40 10 10 13.4897677934952 12.3362242940677 12.7073749638661 12.0994178920943 13.4818491134757 NA NA NA NA NA
37 2 20 2 25 40 10 15 11.8330338009793 11.264177839444 12.1075535214317 12.5541629934364 11.8849949733755 NA NA NA NA NA
37 2 10 5 25 40 10 20 14.7513399688917 14.2199080552674 14.7964463980962 15.5159142732008 14.4998248331088 NA NA NA NA NA
37 20 20 2 25 40 10 25 11.9371840817698 12.0215897023745 11.2101434421063 12.2063302974635 11.6208190620539 NA NA NA NA NA
37 2 20 5 25 40 10 30 14.1814569653394 13.5823306745033 13.4397275728903 14.7584138578189 13.6073758112545 NA NA NA NA NA
37 20 20 5 25 40 10 35 13.1274305077592 13.5375712953334 12.9030766676487 12.6740869326931 13.1957191467348 NA NA NA NA NA
39 11 15 3.5 25 40 10 20 13.5734722806975 13.9042963239622 13.5990749556581 12.7428924632679 14.1215036113984 NA NA NA NA NA
39 8.75 12.3 4.61 25 40 10 20 15.1205639868238 14.9900957805097 14.3107013843097 15.0639002579985 14.7261336814679 NA NA NA NA NA
39 2 4.2 6.75 25 40 10 20 13.8728287094612 15.1553568870744 13.8171023029261 13.2792375020004 13.7825565790359 NA NA NA NA NA
39 4.25 6.89 6.12 25 40 10 20 15.2032598664464 14.5006417507972 15.5433406882584 15.3849268643956 15.6353514624617 NA NA NA NA NA
39 12.86 9.6 5.13 25 40 10 30 15.4954031549371 NA NA NA NA NA NA NA NA NA
39 6.5 17.24 5.13 25 40 10 30 13.5334222721465 NA NA NA NA NA NA NA NA NA
39 6.5 9.6 7.4 25 40 10 30 15.9348598168724 NA NA NA NA NA NA NA NA NA
39 0.13 9.6 7.4 25 40 10 30 14.3636306347874 NA NA NA NA NA NA NA NA NA
39 6.5 1.96 5.13 25 40 10 30 13.5028907053957 NA NA NA NA NA NA NA NA NA
