week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 12.7134043320883 12.7151519046427 12.7831492715024 13.0938751855801 13.5985741775414 NA NA NA NA NA
37 20 10 2 25 40 10 10 13.4888921187525 12.9943833510837 13.0819397201364 13.1520965046266 11.9740293454815 NA NA NA NA NA
37 2 20 2 25 40 10 15 12.5673516102804 11.7338081781596 12.2499631879572 11.8368059033749 12.7894056812381 NA NA NA NA NA
37 2 10 5 25 40 10 20 13.9714119912798 14.9689608829618 14.3999975398155 14.9860779436622 14.2220057942374 NA NA NA NA NA
37 20 20 2 25 40 10 25 11.4176994768408 11.4336716279032 12.2591215031087 12.0541835814968 11.6316419101416 NA NA NA NA NA
37 2 20 5 25 40 10 30 13.3300725220715 14.0681210143495 14.1496527233005 13.6954178604047 13.3396042672533 NA NA NA NA NA
37 20 20 5 25 40 10 35 13.0843453131918 13.3428719963198 13.0667378153355 12.9932909056343 12.6295335269746 NA NA NA NA NA
38 11 15 3.5 25 40 10 20 13.2714697567321 14.2308695735322 14.4556835691227 14.0969836777623 13.6547348566359 NA NA NA NA NA
38 2 10 5 20 40 10 20 14.2874135775252 14.2829483861005 14.6956741519365 14.2552752262416 14.9793738400918 NA NA NA NA NA
38 2 10 5 15 40 10 20 14.6511247423931 13.9272636583923 13.7434635638947 14.5562010265331 14.8069372960731 NA NA NA NA NA
38 2 10 7 20 40 10 25 15.598389777863 15.5343463464 15.4448725427951 14.7180690726804 15.5983222664135 NA NA NA NA NA
38 2 15 7 20 40 10 25 14.3729511887111 13.7584350409627 14.5540419875003 13.8946533687795 14.8676416417612 NA NA NA NA NA
39 7.78 9.66 5.75 20 40 10 20 15.2570946693409 NA NA NA NA NA NA NA NA NA
39 4.56 4.32 8 20 40 10 20 15.6995066958452 15.1089362271876 NA NA NA NA NA NA NA NA
39 9.06 1.82 7.25 20 40 10 20 15.0628062211689 NA NA NA NA NA NA NA NA NA
39 9.06 1.82 8.75 22 38 111 20 15.6977179745437 NA NA NA NA NA NA NA NA NA
39 0.06 1.82 8.75 18 38 111 20 9.4726645571384 NA NA NA NA NA NA NA NA NA
39 0.06 6.82 7.25 18 42 9 20 13.1810910071256 NA NA NA NA NA NA NA NA NA
39 0.06 6.82 8.25 10 42 11 22 13.5795346243625 NA NA NA NA NA NA NA NA NA
39 0.06 1.82 7.25 10 40 10 25 10.171964282875 NA NA NA NA NA NA NA NA NA
39 9.06 6.82 8.75 5 42 12 27 15.2947535735526 NA NA NA NA NA NA NA NA NA
40 9.06 6.82 8.25 24 42 15 30 16.0756508759921 16.5688949888074 16.8390039209943 NA NA NA NA NA NA NA
40 9.06 6.82 7.25 26 44 20 30 16.2889515490861 16.3685775607566 16.0193937443257 NA NA NA NA NA NA NA
40 0.06 6.82 8.75 30 42 15 20 14.3968224127878 15.3930192109943 14.5618771499317 NA NA NA NA NA NA NA
40 12.22 4.32 8 24 42 15 30 16.3379437175031 16.0912718805251 15.8298274794009 NA NA NA NA NA NA NA
40 4.56 8.52 8 24 42 15 30 15.4930774208581 16.0299203867841 15.8500853805778 NA NA NA NA NA NA NA
40 4.56 4.32 9.26 24 42 15 30 15.2096954859954 15.5568946544535 15.1941380976165 NA NA NA NA NA NA NA
41 9.02 1.82 8.2 24 42 15 30 14.0259296202959 14.7320127788471 14.7104881388126 NA NA NA NA NA NA NA
41 9.02 6 8.25 24 42 15 30 16.4795015621166 15.8061343545345 15.7991898230142 NA NA NA NA NA NA NA
41 9.5 5.5 8.5 24 42 15 30 16.5731811260796 16.2272780573989 15.7926175242236 NA NA NA NA NA NA NA
41 10 5 9 24 42 15 30 16.6957088414646 15.9738813808617 16.3177325206808 NA NA NA NA NA NA NA
41 10.5 5 9.5 24 42 15 30 16.7803114170765 16.5701639313728 16.0144234749666 NA NA NA NA NA NA NA
41 11 5.5 10 24 42 15 30 16.460430047918 16.1500243258328 15.9687545785147 NA NA NA NA NA NA NA
41 11 5 10 24 42 15 30 15.9748680660762 16.3164053764579 16.2899510661957 NA NA NA NA NA NA NA
42 9.65 6.5 10.4 31.25 39.8 19.48 20.89 16.7013215446626 16.7391587341825 16.869697264986 NA NA NA NA NA NA NA
42 9.34 7.36 10.82 27.77 39.59 14.48 30.31 16.2970673397248 16.431282295642 16.1718747504653 NA NA NA NA NA NA NA
42 11.04 5.68 9.31 22.86 39.59 20 5.52 16.468549144412 16.1354660637023 NA NA NA NA NA NA NA NA
42 21.11 0.45 0.69 7.56 19.35 19.37 8.95 10.5880851622212 NA NA NA NA NA NA NA NA NA
42 2.93 22.28 12.18 29.55 48.95 17.18 26.69 14.0256653880761 13.8133565273635 NA NA NA NA NA NA NA NA
42 3.04 16.43 6.96 35.32 44.01 6.65 30.18 15.372580156357 NA NA NA NA NA NA NA NA NA
42 11.16 4.92 10.2 35.32 35.69 58.83 13.07 16.9227416826767 NA NA NA NA NA NA NA NA NA
43 12.32 4.51 10.03 36.84 39.16 93.5 12.26 17.4185915466721 17.3811480949981 16.6989875069626 NA NA NA NA NA NA NA
43 16 4 9 23 40 78 17 16.4856029610023 16.3140775463819 16.5600485324184 NA NA NA NA NA NA NA
43 10.73 4.48 9.95 32.07 40.77 68.2 16.38 17.239532466495 16.4747081372594 16.6628457066715 NA NA NA NA NA NA NA
43 12.65 3.49 8.98 32.48 36.07 69.26 12.18 17.2681979769481 17.3597869256672 16.5898840404343 NA NA NA NA NA NA NA
