week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 13.1010967262708 12.4736986565124 13.0625300486643 12.6678597334069 12.8531400594679 NA NA NA NA NA
37 20 10 2 25 40 10 10 13.276500856715 12.6795349993866 11.9691520731397 12.2327661202751 12.5601547254115 NA NA NA NA NA
37 2 20 2 25 40 10 15 12.6502539193448 12.1490415507233 12.805340877651 12.6268645740396 12.6677093080774 NA NA NA NA NA
37 2 10 5 25 40 10 20 14.6308979950314 14.7664174604439 15.3706899124802 14.5233376887432 15.4848567408928 NA NA NA NA NA
37 20 20 2 25 40 10 25 11.7034798655805 12.0242456454127 10.717948930139 11.4953584739051 11.1889896160174 NA NA NA NA NA
37 2 20 5 25 40 10 30 13.5227865347763 13.558409607831 13.8776208801438 13.2100891543373 13.3740162321666 NA NA NA NA NA
37 20 20 5 25 40 10 35 12.8379958330845 13.1349179531877 14.0494473778485 13.3528701860763 13.605000695141 NA NA NA NA NA
38 2 10 5 30 45 15 20 15.462890153488 14.3699853133132 15.1673642595115 15.2833095358308 15.1925117628041 NA NA NA NA NA
39 11 15 3.5 25 40 10 20 14.8392823633065 14.1959623836958 13.7441842899545 13.8368499364813 13.9373818061634 NA NA NA NA NA
39 11 10 6.133405 25 40 10 20 15.6184699736354 15.8070918379997 15.5709773236652 15.3850298658876 15.6715032460482 NA NA NA NA NA
39 11 0 11.40022 25 40 10 20 12.7404054067427 12.8867071101744 12.2085711189842 13.4553091558196 13.0787497255535 NA NA NA NA NA
39 11 5 8.76681 25 40 10 20 16.6339647494283 15.4951363730658 15.4858523311535 15.5335270787681 15.7507115987753 NA NA NA NA NA
39 11 5 8.76681 25 45 10 20 15.2262543116071 15.8832876586346 16.2118867060784 15.7410299750245 15.6540697689557 15.9817725690912 15.2482420501338 15.9914331607248 17.217893046079 15.1443009874014
39 11 5 8.76681 25 40 15 20 17.5729482260389 15.4993561673613 15.4953060127463 16.7029184351998 17.6087680965662 16.3397396790284 17.1606839609713 16.9009861562637 16.2298937399845 16.8581645722544
39 11 5 8.76681 30 40 10 20 17.6233231932255 16.3542947756876 17.1752390576306 16.915541252923 16.2444488366437 16.8727196689136 15.9095791530057 15.8800708307587 16.2171607626447 16.5097385539167
39 10.200346 10 8.273133 3.150472 38.137113 3.272675 20 13.4466407619611 13.6269557315586 13.1045924760606 13.2972846756154 13.9600594939803 13.922766291129 13.8705061156531 13.8755399921701 13.7261977289931 14.1052223589681
39 10.200346 10 8.273133 3.150472 38.137113 3.272675 20 13.8489622555588 14.1559941151758 14.3248803482026 13.8619568854262 13.6248193019579 14.2060775342526 14.1172675416984 13.3833791409284 14.094195162962 13.9914385957411
42 11 5 8.171862 25 40 14.28925 20 15.9997016599025 15.3654168862749 16.271938859715 15.8784099254789 16.0734988631038 16.4867494696416 15.6787538166575 16.4464620069091 15.6097820725359 16.1983147869647
42 11 5 8.171862 25 40 14.28925 20 16.2378279207635 16.8013663185004 16.1530204131672 16.1527460293767 16.4342202070146 16.3585077364977 16.2046579574809 16.0718638209826 16.1660314143385 16.2688363147995
43 18.54449 11.35219 10.93021 28.65752 40.49287 14.41363 12.6817 15.0762895176417 15.6164973736409 15.668969150916 15.5329296511818 15.8609990199079 15.5292574066404 14.8750396037673 15.454479336224 15.4695647981451 14.8826203963639
43 18.54449 11.35219 10.93021 28.65752 40.49287 14.41363 12.6817 15.7429126961569 15.2222362461628 14.87943455818 15.0597581766182 15.8845620224934 15.2748169646094 15.4342839314826 15.5824314774062 15.1837707827989 15.2379705527707
43 9.110784 9.094239 8.838965 28.657524 40.80133 14.413634 32.545549 16.5227967836489 16.8805251412107 15.5530668758796 15.7352228104801 16.311096812486 16.2539064773494 16.4650673020713 16.1962369747723 16.6749519805131 15.8388457777995
