LaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ShockLocation
3889.6,1.133,1,500,500,575,1.4e-08,2285.8
3889.6,1.133,1,500,500,575,1.6e-08,2499.9
3882,1.167,1,500,500,575,1.3e-08,2042.4
3892.4,1.133,1,500,500,575,1.3e-08,2075.2
3892.4,1.133,1,500,500,575,1.4e-08,2200.4
3880.2,1.204,1,500,500,575,1.3e-08,2095.5
3880.2,1.204,1,500,500,575,1.3e-08,2073.4
3859.8,1.105,1,500,500,575,1.4e-08,2315.4
3859.8,1.105,1,500,500,575,1.3e-08,2104.5
3846,1.169,1,500,500,575,1.3e-08,1970.4
3841.5,1.17,1,500,500,575,1.4e-08,2043
3867.4,1.17,1,500,500,575,1.3e-08,1955
3832,1.03,1,500,500,1150,2.6e-08,3465.66
3832,1.03,1,500,500,1150,2.6e-08,3315.46
3866,1.04,1,500,500,1150,2.8e-08,3412.53
3829,1.28,1,500,500,575,2e-08,2737.31
3750,1.311,1,500,500,575,2.6e-08,3434.44
3750,1.311,1,500,500,575,2.6e-08,3488.64
3827,1.09,1,500,500,1150,2.6e-08,3557.81
3827,1.09,1,500,500,1150,2.6e-08,3665.05
