FileNumber,BeThickness,LaserEnergy,GasPressure,AspectRatio,NozzleLength,TaperLength,TubeDiameter,Time,ElectronFluxLimiter,EnergyScaleFactor,ShockLocation
1974,97,18,3600,1.1,1,500,500,575,0.000000009,0.04,0.4,1036.518
1975,97,18,3600,1.1,1,500,500,575,0.00000001,0.04,0.4,1130.565
1976,97,18,3600,1.1,1,500,500,575,0.000000011,0.04,0.4,1238.619
1977,97,18,3600,1.1,1,500,500,575,0.000000012,0.04,0.4,1342.671
1978,97,18,3600,1.1,1,500,500,575,0.000000013,0.04,0.4,1444.722
1979,97,18,3600,1.1,1,500,500,575,0.000000014,0.04,0.4,1548.774
1980,97,18,3600,1.1,1,500,500,575,0.000000015,0.04,0.4,1658.829
1981,97,18,3600,1.1,1,500,500,575,0.000000016,0.04,0.4,1754.877
1982,97,18,3600,1.1,1,500,500,575,0.000000017,0.04,0.4,1860.93
1983,97,18,3600,1.1,1,500,500,575,0.000000018,0.04,0.4,1960.98
1984,97,18,3600,1.1,1,500,500,575,0.000000019,0.04,0.4,2057.029
1985,97,18,3600,1.1,1,500,500,575,0.00000002,0.04,0.4,2149.074
1986,97,18,3600,1.1,1,500,500,575,0.000000021,0.04,0.4,2235.118
1987,97,18,3600,1.1,1,500,500,575,0.000000022,0.04,0.4,2321.161
1988,97,18,3600,1.1,1,500,500,575,0.000000023,0.04,0.4,2479.24
1989,97,18,3600,1.1,1,500,500,575,0.000000024,0.04,0.4,2579.29
1990,97,18,3600,1.1,1,500,500,575,0.000000025,0.04,0.4,2673.337
1991,97,18,3600,1.1,1,500,500,575,0.000000026,0.04,0.4,2767.384
1992,97,18,3600,1.1,1,500,500,575,0.000000027,0.04,0.4,2857.429
2119,105,18,3600,1.1,1,500,500,575,0.000000009,0.1,0.4,1046.523
2120,105,18,3600,1.1,1,500,500,575,0.00000001,0.1,0.4,1150.575
2121,105,18,3600,1.1,1,500,500,575,0.000000011,0.1,0.4,1256.628
2122,105,18,3600,1.1,1,500,500,575,0.000000012,0.1,0.4,1358.679
2123,105,18,3600,1.1,1,500,500,575,0.000000013,0.1,0.4,1462.731
2124,105,18,3600,1.1,1,500,500,575,0.000000014,0.1,0.4,1568.784
2125,105,18,3600,1.1,1,500,500,575,0.000000015,0.1,0.4,1678.839
2126,105,18,3600,1.1,1,500,500,575,0.000000016,0.1,0.4,1784.892
2127,105,18,3600,1.1,1,500,500,575,0.000000017,0.1,0.4,1884.943
2128,105,18,3600,1.1,1,500,500,575,0.000000018,0.1,0.4,1978.99
2129,105,18,3600,1.1,1,500,500,575,0.000000019,0.1,0.4,2073.037
2130,105,18,3600,1.1,1,500,500,575,0.00000002,0.1,0.4,2163.082
2131,105,18,3600,1.1,1,500,500,575,0.000000021,0.1,0.4,2241.121
2132,105,18,3600,1.1,1,500,500,575,0.000000022,0.1,0.4,2363.182
2133,105,18,3600,1.1,1,500,500,575,0.000000023,0.1,0.4,2479.24
2134,105,18,3600,1.1,1,500,500,575,0.000000024,0.1,0.4,2573.287
2135,105,18,3600,1.1,1,500,500,575,0.000000025,0.1,0.4,2665.333
2136,105,18,3600,1.1,1,500,500,575,0.000000026,0.1,0.4,2755.378
2137,105,18,3600,1.1,1,500,500,575,0.000000027,0.1,0.4,2847.424
2265,113,18,3600,1.1,1,500,500,575,0.000000006,0.04,1.1,1184.728
2266,113,18,3600,1.1,1,500,500,575,0.000000007,0.04,1.1,1380.794
2267,113,18,3600,1.1,1,500,500,575,0.000000008,0.04,1.1,1572.858
2268,113,18,3600,1.1,1,500,500,575,0.000000009,0.04,1.1,1762.921
2269,113,18,3600,1.1,1,500,500,575,0.00000001,0.04,1.1,1940.98
2270,113,18,3600,1.1,1,500,500,575,0.000000011,0.04,1.1,2189.063
2271,113,18,3600,1.1,1,500,500,575,0.000000012,0.04,1.1,2369.123
2272,113,18,3600,1.1,1,500,500,575,0.000000013,0.04,1.1,2549.183
2273,113,18,3600,1.1,1,500,500,575,0.000000014,0.04,1.1,2727.242
2274,113,18,3600,1.1,1,500,500,575,0.000000015,0.04,1.1,2737.246
2275,113,18,3600,1.1,1,500,500,575,0.000000016,0.04,1.1,3065.355
2276,113,18,3600,1.1,1,500,500,575,0.000000017,0.04,1.1,3227.409
2277,113,18,3600,1.1,1,500,500,575,0.000000018,0.04,1.1,3381.46
2278,113,18,3600,1.1,1,500,500,575,0.000000019,0.04,1.1,3357.453
2279,113,18,3600,1.1,1,500,500,575,0.00000002,0.04,1.1,3667.556
2280,113,18,3600,1.1,1,500,500,575,0.000000021,0.04,1.1,3791.597
2281,113,18,3600,1.1,1,500,500,575,0.000000022,0.04,1.1,3911.637
2282,113,18,3600,1.1,1,500,500,575,0.000000023,0.04,1.1,3839.613
2283,113,18,3600,1.1,1,500,500,575,0.000000024,0.04,1.1,3965.655
2284,113,18,3600,1.1,1,500,500,575,0.000000025,0.04,1.1,4205.735
2285,113,18,3600,1.1,1,500,500,575,0.000000026,0.04,1.1,4291.764
2286,113,18,3600,1.1,1,500,500,575,0.000000027,0.04,1.1,4433.812
2443,121,18,3600,1.1,1,500,500,575,0.000000005,0.1,1.1,1026.676
2444,121,18,3600,1.1,1,500,500,575,0.000000006,0.1,1.1,1218.74
2445,121,18,3600,1.1,1,500,500,575,0.000000007,0.1,1.1,1418.806
2446,121,18,3600,1.1,1,500,500,575,0.000000008,0.1,1.1,1618.873
2447,121,18,3600,1.1,1,500,500,575,0.000000009,0.1,1.1,1824.942
2448,121,18,3600,1.1,1,500,500,575,0.00000001,0.1,1.1,2015.005
