## rows of lgbb_as_planned.txt which were not included
## in lgbb_as.txt (helpful for predicting at the remaining
## grid locations)
##
## Applied Math & Statistics Department
## University of California, Santa Cruz
## 1156 High St.
## Santa Cruz, CA 95064
##
## POC: Robert B. Gramacy (rbgramacy@ams.ucsc.edu))
## Herbert K.H. Lee (herbie@ams.ucsc.edu)
## 
## index = row number from lgbb_planned.txt
## mach = Mach Number
## alpha = Angle of attack
## beta = Side-slip angle
##
index mach alpha beta
1 0.2 -5 0
2 0.25 -5 0
3 0.3 -5 0
4 0.35 -5 0
5 0.4 -5 0
6 0.45 -5 0
7 0.5 -5 0
8 0.55 -5 0
9 0.6 -5 0
10 0.65 -5 0
12 0.75 -5 0
13 0.8 -5 0
14 0.85 -5 0
15 0.9 -5 0
17 1 -5 0
18 1.05 -5 0
19 1.1 -5 0
20 1.15 -5 0
21 1.2 -5 0
22 1.25 -5 0
23 1.3 -5 0
24 1.35 -5 0
25 1.4 -5 0
26 1.45 -5 0
28 1.55 -5 0
29 1.6 -5 0
30 1.65 -5 0
31 1.7 -5 0
32 1.75 -5 0
33 1.8 -5 0
34 1.85 -5 0
35 1.9 -5 0
36 1.95 -5 0
37 2 -5 0
38 2.05 -5 0
39 2.1 -5 0
40 2.15 -5 0
41 2.2 -5 0
42 2.25 -5 0
43 2.3 -5 0
44 2.35 -5 0
45 2.4 -5 0
46 2.45 -5 0
47 2.5 -5 0
48 2.55 -5 0
49 2.6 -5 0
50 2.65 -5 0
51 2.7 -5 0
52 2.75 -5 0
53 2.8 -5 0
54 2.85 -5 0
55 2.9 -5 0
56 2.95 -5 0
57 3 -5 0
58 3.05 -5 0
59 3.1 -5 0
60 3.15 -5 0
61 3.2 -5 0
62 3.25 -5 0
63 3.3 -5 0
64 3.35 -5 0
65 3.4 -5 0
66 3.45 -5 0
67 3.5 -5 0
68 3.55 -5 0
69 3.6 -5 0
70 3.65 -5 0
71 3.7 -5 0
72 3.75 -5 0
73 3.8 -5 0
74 3.85 -5 0
76 3.95 -5 0
77 4 -5 0
78 4.05 -5 0
79 4.1 -5 0
80 4.15 -5 0
81 4.2 -5 0
82 4.25 -5 0
83 4.3 -5 0
84 4.35 -5 0
85 4.4 -5 0
86 4.45 -5 0
87 4.5 -5 0
88 4.55 -5 0
89 4.6 -5 0
90 4.65 -5 0
91 4.7 -5 0
92 4.75 -5 0
93 4.8 -5 0
94 4.85 -5 0
95 4.9 -5 0
96 4.95 -5 0
97 5 -5 0
98 5.05 -5 0
99 5.1 -5 0
100 5.15 -5 0
101 5.2 -5 0
102 5.25 -5 0
103 5.3 -5 0
104 5.35 -5 0
105 5.4 -5 0
106 5.45 -5 0
107 5.5 -5 0
108 5.55 -5 0
109 5.6 -5 0
110 5.65 -5 0
111 5.7 -5 0
113 5.8 -5 0
114 5.85 -5 0
115 5.9 -5 0
116 5.95 -5 0
117 6 -5 0
118 0.2 -4 0
119 0.25 -4 0
120 0.3 -4 0
122 0.4 -4 0
123 0.45 -4 0
124 0.5 -4 0
125 0.55 -4 0
126 0.6 -4 0
127 0.65 -4 0
128 0.7 -4 0
129 0.75 -4 0
130 0.8 -4 0
131 0.85 -4 0
132 0.9 -4 0
133 0.95 -4 0
134 1 -4 0
135 1.05 -4 0
136 1.1 -4 0
137 1.15 -4 0
138 1.2 -4 0
139 1.25 -4 0
140 1.3 -4 0
141 1.35 -4 0
142 1.4 -4 0
143 1.45 -4 0
144 1.5 -4 0
145 1.55 -4 0
146 1.6 -4 0
147 1.65 -4 0
148 1.7 -4 0
149 1.75 -4 0
150 1.8 -4 0
151 1.85 -4 0
152 1.9 -4 0
153 1.95 -4 0
154 2 -4 0
155 2.05 -4 0
156 2.1 -4 0
157 2.15 -4 0
158 2.2 -4 0
159 2.25 -4 0
160 2.3 -4 0
161 2.35 -4 0
162 2.4 -4 0
163 2.45 -4 0
164 2.5 -4 0
165 2.55 -4 0
166 2.6 -4 0
167 2.65 -4 0
168 2.7 -4 0
169 2.75 -4 0
170 2.8 -4 0
171 2.85 -4 0
172 2.9 -4 0
173 2.95 -4 0
174 3 -4 0
175 3.05 -4 0
176 3.1 -4 0
177 3.15 -4 0
178 3.2 -4 0
179 3.25 -4 0
180 3.3 -4 0
181 3.35 -4 0
182 3.4 -4 0
183 3.45 -4 0
184 3.5 -4 0
185 3.55 -4 0
186 3.6 -4 0
187 3.65 -4 0
188 3.7 -4 0
189 3.75 -4 0
190 3.8 -4 0
191 3.85 -4 0
192 3.9 -4 0
193 3.95 -4 0
194 4 -4 0
195 4.05 -4 0
196 4.1 -4 0
197 4.15 -4 0
198 4.2 -4 0
199 4.25 -4 0
200 4.3 -4 0
201 4.35 -4 0
202 4.4 -4 0
203 4.45 -4 0
204 4.5 -4 0
205 4.55 -4 0
206 4.6 -4 0
207 4.65 -4 0
208 4.7 -4 0
209 4.75 -4 0
210 4.8 -4 0
211 4.85 -4 0
212 4.9 -4 0
213 4.95 -4 0
214 5 -4 0
215 5.05 -4 0
216 5.1 -4 0
217 5.15 -4 0
218 5.2 -4 0
219 5.25 -4 0
220 5.3 -4 0
221 5.35 -4 0
222 5.4 -4 0
223 5.45 -4 0
224 5.5 -4 0
225 5.55 -4 0
226 5.6 -4 0
227 5.65 -4 0
228 5.7 -4 0
229 5.75 -4 0
230 5.8 -4 0
231 5.85 -4 0
232 5.9 -4 0
233 5.95 -4 0
234 6 -4 0
235 0.2 -3 0
236 0.25 -3 0
237 0.3 -3 0
238 0.35 -3 0
239 0.4 -3 0
240 0.45 -3 0
241 0.5 -3 0
242 0.55 -3 0
243 0.6 -3 0
244 0.65 -3 0
245 0.7 -3 0
246 0.75 -3 0
247 0.8 -3 0
248 0.85 -3 0
249 0.9 -3 0
250 0.95 -3 0
252 1.05 -3 0
253 1.1 -3 0
254 1.15 -3 0
255 1.2 -3 0
256 1.25 -3 0
257 1.3 -3 0
258 1.35 -3 0
259 1.4 -3 0
260 1.45 -3 0
261 1.5 -3 0
262 1.55 -3 0
263 1.6 -3 0
264 1.65 -3 0
265 1.7 -3 0
266 1.75 -3 0
267 1.8 -3 0
269 1.9 -3 0
270 1.95 -3 0
272 2.05 -3 0
273 2.1 -3 0
274 2.15 -3 0
275 2.2 -3 0
276 2.25 -3 0
277 2.3 -3 0
278 2.35 -3 0
279 2.4 -3 0
280 2.45 -3 0
281 2.5 -3 0
282 2.55 -3 0
283 2.6 -3 0
284 2.65 -3 0
285 2.7 -3 0
286 2.75 -3 0
287 2.8 -3 0
288 2.85 -3 0
289 2.9 -3 0
290 2.95 -3 0
291 3 -3 0
292 3.05 -3 0
293 3.1 -3 0
294 3.15 -3 0
295 3.2 -3 0
296 3.25 -3 0
297 3.3 -3 0
298 3.35 -3 0
299 3.4 -3 0
300 3.45 -3 0
301 3.5 -3 0
302 3.55 -3 0
303 3.6 -3 0
304 3.65 -3 0
305 3.7 -3 0
306 3.75 -3 0
307 3.8 -3 0
308 3.85 -3 0
309 3.9 -3 0
310 3.95 -3 0
311 4 -3 0
312 4.05 -3 0
313 4.1 -3 0
314 4.15 -3 0
315 4.2 -3 0
316 4.25 -3 0
317 4.3 -3 0
318 4.35 -3 0
319 4.4 -3 0
320 4.45 -3 0
321 4.5 -3 0
322 4.55 -3 0
323 4.6 -3 0
324 4.65 -3 0
325 4.7 -3 0
326 4.75 -3 0
327 4.8 -3 0
328 4.85 -3 0
329 4.9 -3 0
330 4.95 -3 0
331 5 -3 0
332 5.05 -3 0
333 5.1 -3 0
334 5.15 -3 0
335 5.2 -3 0
336 5.25 -3 0
337 5.3 -3 0
338 5.35 -3 0
339 5.4 -3 0
340 5.45 -3 0
341 5.5 -3 0
342 5.55 -3 0
343 5.6 -3 0
344 5.65 -3 0
345 5.7 -3 0
346 5.75 -3 0
347 5.8 -3 0
348 5.85 -3 0
349 5.9 -3 0
350 5.95 -3 0
351 6 -3 0
352 0.2 -2 0
353 0.25 -2 0
354 0.3 -2 0
355 0.35 -2 0
356 0.4 -2 0
357 0.45 -2 0
358 0.5 -2 0
359 0.55 -2 0
360 0.6 -2 0
361 0.65 -2 0
362 0.7 -2 0
363 0.75 -2 0
364 0.8 -2 0
365 0.85 -2 0
366 0.9 -2 0
367 0.95 -2 0
368 1 -2 0
369 1.05 -2 0
370 1.1 -2 0
371 1.15 -2 0
372 1.2 -2 0
373 1.25 -2 0
374 1.3 -2 0
375 1.35 -2 0
376 1.4 -2 0
377 1.45 -2 0
378 1.5 -2 0
379 1.55 -2 0
380 1.6 -2 0
381 1.65 -2 0
382 1.7 -2 0
383 1.75 -2 0
384 1.8 -2 0
385 1.85 -2 0
386 1.9 -2 0
387 1.95 -2 0
388 2 -2 0
389 2.05 -2 0
390 2.1 -2 0
391 2.15 -2 0
392 2.2 -2 0
393 2.25 -2 0
394 2.3 -2 0
395 2.35 -2 0
396 2.4 -2 0
397 2.45 -2 0
398 2.5 -2 0
399 2.55 -2 0
400 2.6 -2 0
401 2.65 -2 0
402 2.7 -2 0
403 2.75 -2 0
404 2.8 -2 0
405 2.85 -2 0
406 2.9 -2 0
407 2.95 -2 0
408 3 -2 0
409 3.05 -2 0
410 3.1 -2 0
411 3.15 -2 0
412 3.2 -2 0
413 3.25 -2 0
414 3.3 -2 0
415 3.35 -2 0
416 3.4 -2 0
417 3.45 -2 0
418 3.5 -2 0
419 3.55 -2 0
420 3.6 -2 0
421 3.65 -2 0
422 3.7 -2 0
423 3.75 -2 0
424 3.8 -2 0
425 3.85 -2 0
