week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 12.2993843053668 13.0568567189943 12.1184228741751 12.668142850789 13.3224444722999 NA NA NA NA NA
37 20 10 2 25 40 10 10 12.8252181784644 13.3455155331597 12.7287336867187 13.2205034174473 13.7377735341465 NA NA NA NA NA
37 2 20 2 25 40 10 15 12.0474375444728 12.1944098095003 13.3586749798959 12.4360073321095 12.3615954558214 NA NA NA NA NA
37 2 10 5 25 40 10 20 14.0168020285955 15.1770844261936 14.714336671212 14.2785319210114 15.5356856041209 NA NA NA NA NA
37 20 20 2 25 40 10 25 11.2352845916872 11.2983356375003 11.4273714133737 11.0163928300736 12.128691694735 NA NA NA NA NA
37 2 20 5 25 40 10 30 13.5233157563995 13.5567910472182 13.3486804228667 14.2848442452619 15.1816320943797 NA NA NA NA NA
37 20 20 5 25 40 10 35 13.0312971549361 13.1956768970492 12.1690059821511 12.8196235778268 12.8381837043079 NA NA NA NA NA
39 0.5 4.3 5 30 50 15 42 12.9272209283154 13.3140721237279 12.3912017465476 NA NA NA NA NA NA NA
39 5 0 5 30 50 15 78 10.3810245215148 10.2848785462074 10.2702516509548 NA NA NA NA NA NA NA
39 1 5 5 25 40 10 42 13.0534181864077 14.0283834799305 13.4118843115427 NA NA NA NA NA NA NA
39 10.6 17.3 2.95 25.6 43.8 10.3 48.5 13.0033506656723 NA NA NA NA NA NA NA NA NA
39 14.4 1.4 3.7 25.2 40.66 12.9 39.34 14.3529370654557 NA NA NA NA NA NA NA NA NA
39 1.07 15.72 3.6 28.1 43.45 14.31 62 13.1692286038012 NA NA NA NA NA NA NA NA NA
39 3 3.5 4.67 27.22 45.6 11.75 30.2 13.3123016868466 NA NA NA NA NA NA NA NA NA
39 19.4 9.8 4 27.5 47 12.6 16.15 13.8699668952647 NA NA NA NA NA NA NA NA NA
39 5.5 19.4 4.4 28.8 50 13.7 8.5 13.9010318522088 NA NA NA NA NA NA NA NA NA
