week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 12.9588441782213 12.4056958263443 12.8663930881517 13.3984943190636 13.6172786649581 NA NA NA NA NA
37 20 10 2 25 40 10 10 13.6053473877126 12.9504689190852 13.3015186493625 12.58700806706 12.9295838556341 NA NA NA NA NA
37 2 20 2 25 40 10 15 12.1675642725592 13.0554470306397 12.2556314333111 12.8121521173618 12.7079646569055 NA NA NA NA NA
37 2 10 5 25 40 10 20 14.8350423297688 13.7158151657076 15.242051502091 15.0795758956854 14.5739485193947 NA NA NA NA NA
37 20 20 2 25 40 10 25 11.7377054110595 12.7113333100416 11.0757588735238 11.784634830218 11.3521931476197 NA NA NA NA NA
37 2 20 5 25 40 10 30 13.3805725981846 13.7846888465135 13.3034169118199 13.5798794638014 13.827623667214 NA NA NA NA NA
37 20 20 5 25 40 10 35 12.9062786148872 12.9526672163266 13.2409477664767 12.4805264077047 13.14330424083 NA NA NA NA NA
39 11 15 3.5 25 40 10 20 13.2274433632419 14.0516642222538 NA NA NA NA NA NA NA NA
39 10.29247 24.60877 132.79207 188.95393 164.05068 165.57058 154.4066 4.95727414572296 5.74838740777568 NA NA NA NA NA NA NA NA
39 189.9825 104.20595 95.45036 69.28034 99.42698 70.85305 59.4142 2.58205092035453 3.44924619035136 NA NA NA NA NA NA NA NA
40 2.875935 7.6132296 6.5 25 40 10 20 15.5856015939912 15.7171470138982 14.5507282506297 15.3571091404783 NA NA NA NA NA NA
40 2.875935 7.6132296 6.5 25 40 10 20 15.4702249138395 15.7510105049908 15.2469592033573 16.093099903548 NA NA NA NA NA NA
40 0.01 0.01 9.5 25 40 10 20 7.63687069044077 6.94417130987147 7.037087848221 7.07379890505767 NA NA NA NA NA NA
40 11.901297 6.504867 6.441494 25 40 10 20 15.9307285459082 15.8313284285187 15.1714064894561 15.7499856033018 NA NA NA NA NA NA
41 24.369466 7.109787 3.836898 18.255588 13.641295 33.460856 38.122617 14.9653447089112 15.9247220697801 NA NA NA NA NA NA NA NA
