week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 12.2356861413663 12.645483709484 13.0423526755182 12.6599540616893 12.8258505156268 NA NA NA NA NA
37 20 10 2 25 40 10 10 12.4979440528703 13.3618891686393 12.6820360449593 12.1174697583143 13.3375381631241 NA NA NA NA NA
37 2 20 2 25 40 10 15 12.3882852207666 12.1204570546465 12.9019184083574 12.4587121774208 11.6557521573732 NA NA NA NA NA
37 2 10 5 25 40 10 20 15.0202057960889 14.6223440773993 14.4531901885217 14.1684182392995 14.1333687400829 NA NA NA NA NA
37 20 20 2 25 40 10 25 11.32585028516 11.7172265225898 11.1169073871314 11.6676903402922 11.4175848739098 NA NA NA NA NA
37 2 20 5 25 40 10 30 13.9003678714727 13.3835627673067 13.9906289288124 13.8527963251818 13.3531748886098 NA NA NA NA NA
37 20 20 5 25 40 10 35 12.9567090130003 12.923503757503 12.7775199297223 12.7039755935225 12.9164795095278 NA NA NA NA NA
39 13.90808 0.01136454 6.5 25 40 10 35 12.528689370301 13.7959602100228 12.396707891426 NA NA NA NA NA NA NA
39 17.96936 6.6704 3.5 25 40 10 10 14.1942181491383 14.4009709154811 14.3645551265036 NA NA NA NA NA NA NA
39 15.93872 3.3409 5 25 40 10 10 14.6781891373207 15.7213564170155 14.9164057981352 NA NA NA NA NA NA NA
39 20 10 2 25 40 10 10 13.3233701450953 12.1729067468189 13.0553679179137 NA NA NA NA NA NA NA
39 11 15 3.5 25 40 10 20 14.2039566442826 13.543518669632 14.2800993269526 NA NA NA NA NA NA NA
39 14.52686 3.4512503 1.338055 25 40 10 10 12.7734627318463 11.6558043352863 12.9858509567942 NA NA NA NA NA NA NA
39 25 2.5 4.5 25 40 10 10 14.3523452376909 14.8851411566521 15.195440356405 NA NA NA NA NA NA NA
39 22.5 4.4 5.8 25 40 10 10 15.2333161660579 15.8615869983278 14.8984464824199 NA NA NA NA NA NA NA
41 22.5 4.4 5.8 2.27 4.64 7.55 32.2 16.5749770610929 16.3998746639033 16.3633349855253 NA NA NA NA NA NA NA
41 22.5 4.4 5.8 24.42 22.19 4.19 19.12 15.4615428238077 15.197477925913 15.1339232655125 NA NA NA NA NA NA NA
41 21.66224 19.79974 4.168324 21.92557 34.6163 5.52335 34.40793 12.7002703259977 12.2623340222583 12.5269795407109 NA NA NA NA NA NA NA
41 21.57217 11.69735 5.735103 20.10381 23.89397 8.004475 30.99562 14.6717179683798 15.0908352669695 14.7710918190854 NA NA NA NA NA NA NA
