week N P K Na Ca Mg Nx y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
37 2 10 2 25 40 10 5 13.1813310228576 12.9434755559022 13.0606539534312 13.3289030568679 12.2201558444433 NA NA NA NA NA
37 20 10 2 25 40 10 10 13.2757293712555 12.4860154637482 12.9094854919887 12.316372024777 13.2845742518475 NA NA NA NA NA
37 2 20 2 25 40 10 15 12.9765087461442 11.4170851927754 12.3430680532069 12.617073114026 12.3728230003936 NA NA NA NA NA
37 2 10 5 25 40 10 20 14.6643545438473 14.9297335887277 14.4651217689779 14.0319307522267 15.5133858406319 NA NA NA NA NA
37 20 20 2 25 40 10 25 10.9247081132159 11.7311465421555 11.1431570134495 11.1170113891579 11.3975827934816 NA NA NA NA NA
37 2 20 5 25 40 10 30 14.2392642141162 14.0736584457835 13.8119096408359 13.7207985631396 13.5783981996868 NA NA NA NA NA
37 20 20 5 25 40 10 35 14.0062938279546 13.2638998954452 12.8393805936019 12.8663880229086 12.1656824680562 NA NA NA NA NA
41 11 15 3.5 25 40 10 20 13.762573701605 13.6910116290437 14.6064098611132 13.4687280249274 13.6895104473292 NA NA NA NA NA
41 11 15 3.5 25 40 10 20 13.9186079955146 13.6769573994285 13.9446408702221 14.3936142262075 13.6685593540082 NA NA NA NA NA
41 11 15 5.02 35.28 40 10 20 14.5643509726212 14.6725221156083 15.2765742597216 15.1396677915467 14.5758524784296 NA NA NA NA NA
41 11 15 8.08 25 40 10 65.84 15.2845122106257 14.8247766073606 15.0437724703996 14.4170404885156 15.100299019875 NA NA NA NA NA
41 11 15 9.61 25 40 10 81.12 14.1506586594272 15.0112165533781 15.2486944013135 15.1779793149667 15.1843852138932 NA NA NA NA NA
41 8.06 11.64 5 25 40 10 20 15.0309208287128 15.2449596051408 NA NA NA NA NA NA NA NA
41 8.06 11.64 5 25 40 10 20 14.8995428076579 14.638395422563 NA NA NA NA NA NA NA NA
41 5.13 8.28 6.5 25 40 10 20 15.795189413375 15.7914211691636 NA NA NA NA NA NA NA NA
41 1.03 13.19 9.61 25 40 10 26.62 14.80251025066 14.6203696543952 NA NA NA NA NA NA NA NA
41 11 15 3.5 33.9 24.12 6.25 15.89 14.4911655300927 NA NA NA NA NA NA NA NA NA
41 11 15 3.5 14.12 5.23 8.54 46.4 14.7021685264741 14.7199106687596 NA NA NA NA NA NA NA NA
41 11 15 3.5 1.61 16.82 8.1 30.59 13.4689238093243 13.2344909448353 NA NA NA NA NA NA NA NA
41 11 15 3.5 28.92 11.76 1.67 23.99 14.1684637724647 13.6020009124684 NA NA NA NA NA NA NA NA
41 5.13 8.28 6.5 33.9 24.12 6.25 15.89 16.6821191436674 16.6125069348385 NA NA NA NA NA NA NA NA
41 5.13 8.28 6.5 14.12 5.23 8.54 46.4 16.7160260302652 16.5324338949402 NA NA NA NA NA NA NA NA
41 5.13 8.28 6.5 1.61 18.82 8.1 30.59 16.2604545974948 15.1417029971301 NA NA NA NA NA NA NA NA
41 5.13 8.28 6.5 28.92 11.76 1.67 23.99 15.4245840912202 15.4563318150092 NA NA NA NA NA NA NA NA
41 5.13 8.28 6.5 22.91 29.07 0.61 76.53 13.8721800834231 13.7363225977321 NA NA NA NA NA NA NA NA
41 5.13 8.28 6.5 6.07 37.5 4.76 66.46 14.1527913316317 14.1051678092369 NA NA NA NA NA NA NA NA
